FILENAME: ./data/data_7_abi.txt
PATTERN: wine
Running OBST using Dynamic Programming....
0) D:  | f(D): 0 | l(D): 0
542) D: therefore | f(D): 2 | l(D): 9
543) D: these | f(D): 2 | l(D): 5
544) D: they | f(D): 2 | l(D): 4
545) D: thinking | f(D): 3 | l(D): 8
546) D: this | f(D): 15 | l(D): 4
547) D: those | f(D): 1 | l(D): 5
548) D: through | f(D): 2 | l(D): 7
549) D: time | f(D): 4 | l(D): 4
550) D: to | f(D): 63 | l(D): 2
551) D: toefl | f(D): 1 | l(D): 5
552) D: together | f(D): 1 | l(D): 8
553) D: tongue | f(D): 1 | l(D): 6
554) D: toronto | f(D): 1 | l(D): 7
555) D: trades | f(D): 1 | l(D): 6
556) D: training | f(D): 5 | l(D): 8
557) D: transfer | f(D): 1 | l(D): 8
558) D: tuition | f(D): 1 | l(D): 7
559) D: two | f(D): 2 | l(D): 3
560) D: under | f(D): 2 | l(D): 5
561) D: undergraduate | f(D): 9 | l(D): 13
562) D: understand | f(D): 1 | l(D): 10
563) D: understanding | f(D): 5 | l(D): 13
564) D: undertakes | f(D): 1 | l(D): 10
565) D: universities | f(D): 11 | l(D): 12
566) D: university | f(D): 37 | l(D): 10
567) D: unjustified | f(D): 1 | l(D): 11
568) D: unrest | f(D): 1 | l(D): 6
569) D: update | f(D): 1 | l(D): 6
570) D: use | f(D): 7 | l(D): 3
571) D: used | f(D): 2 | l(D): 4
572) D: using | f(D): 2 | l(D): 5
573) D: validity | f(D): 1 | l(D): 8
574) D: variety | f(D): 3 | l(D): 7
575) D: version | f(D): 3 | l(D): 7
576) D: visual | f(D): 2 | l(D): 6
577) D: web | f(D): 3 | l(D): 3
578) D: website | f(D): 2 | l(D): 7
579) D: week | f(D): 2 | l(D): 4
580) D: well | f(D): 1 | l(D): 4
581) D: were | f(D): 1 | l(D): 4
582) D: where | f(D): 2 | l(D): 5
583) D: whether | f(D): 1 | l(D): 7
584) D: which | f(D): 8 | l(D): 5
585) D: while | f(D): 1 | l(D): 5
586) D: whom | f(D): 1 | l(D): 4
587) D: wide | f(D): 1 | l(D): 4
588) D: will | f(D): 3 | l(D): 4
589) D: winter | f(D): 4 | l(D): 6
590) D: wish | f(D): 1 | l(D): 4
591) D: with | f(D): 11 | l(D): 4
592) D: withdraw | f(D): 1 | l(D): 8
593) D: without | f(D): 1 | l(D): 7
594) D: work | f(D): 1 | l(D): 4
595) D: would | f(D): 1 | l(D): 5
596) D: writing | f(D): 2 | l(D): 7
597) D: written | f(D): 1 | l(D): 7
598) D: year | f(D): 3 | l(D): 4
599) D: you | f(D): 1 | l(D): 3
600) D: your | f(D): 1 | l(D): 4
Total Items: 601
Total Unique Items: 600
Skipped Items: 1
Total Frequency: 2045
TOTAL ITEMS: 2045
     of
disclosure          the
     disclosure
and          in
     and
address          college
     address
academic          all
     academic
a          act
     a
*          ability
     ability
*          abroad
     abroad
above          *
     above
*          *
     act
accordance          addition
     accordance
accommodation          accurately
     accommodation
access          accompanied
     access
*          *
     accompanied
*          accomplish
     accomplish
*          *
     accurately
account          acquire
     account
*          *
     acquire
*          across
     across
*          *
     addition
activities          *
     activities
*          *
     all
admission          amendments
     admission
administering          advanced
     administering
*          administrative
     administrative
*          *
     advanced
*          advisors
     advisors
advising          after
     advising
*          *
     after
*          agreements
     agreements
*          *
     amendments
